compound_id,compound_name,area,sub_area,category,developer,status_2025,delivery_notes,source_hint,last_verified_date,lat,lng
el-patio-new-cairo,El Patio (New Cairo),New Cairo,Fifth Settlement / New Cairo,Other,La Vista Developments,Mixed/Phased,"Multiple El Patio phases in East Cairo; some delivered, others ongoing.",property_hub,2025-12-28,,
azad-views,Azad Views,New Cairo,Golden Square,Golden Square Developments,Tameer,Under Construction,Apartment-focused project; delivery depends on phase.,property_hub,2025-12-28,,
azzar-new-cairo,Azzar New Cairo,New Cairo,Golden Square,Golden Square Developments,Reedy Group,Under Construction,Off-plan; phased delivery.,property_hub,2025-12-28,,
eastown,Eastown Residence,New Cairo,Golden Square,Golden Square Developments,SODIC,Ready to Move,Delivered residences within Eastown.,mixed,2025-12-28,,
fifth-square,Fifth Square,New Cairo,Golden Square,Golden Square Developments,Al Marasem Development,Ready to Move,Delivered phases; ongoing resale market.,mixed,2025-12-28,,
katameya-dunes,Katameya Dunes,New Cairo,Golden Square,Golden Square Developments,SODIC,Ready to Move,Established high-end community.,mixed,2025-12-28,,
katameya-plaza,Katameya Plaza,New Cairo,Golden Square,Golden Square Developments,SODIC,Ready to Move,Residential component delivered.,mixed,2025-12-28,,
la-nouvelle-vie,La Nouvelle Vie,New Cairo,Golden Square,Golden Square Developments,Misr Italia Properties,Mixed/Phased,Multiple phases; mix of delivered and ongoing.,mixed,2025-12-28,,
lake-view,Lake View,New Cairo,Golden Square,Golden Square Developments,El Hazek Construction (Lake View),Ready to Move,Legacy branding used for Lake View area.,mixed,2025-12-28,,
lake-view-residence,Lake View Residence,New Cairo,Golden Square,Golden Square Developments,El Hazek Construction (Lake View),Ready to Move,Established compound in Fifth Settlement.,mixed,2025-12-28,,
layan-residence,Layan Residence,New Cairo,Golden Square,Golden Square Developments,Landmark Sabbour (LMD),Ready to Move,Delivered/RTM resale market; established villa/townhouse compound.,property_hub,2025-12-28,,
mivida,Mivida,New Cairo,Golden Square,Golden Square Developments,Emaar Misr,Ready to Move,Established delivered community; resale + remaining inventory varies.,mixed,2025-12-28,,
palm-hills-katameya,Palm Hills Katameya,New Cairo,Golden Square,Golden Square Developments,Palm Hills Developments,Ready to Move,Established delivered community (older phases).,mixed,2025-12-28,,
palm-hills-katameya-extension,Palm Hills Katameya Extension,New Cairo,Golden Square,Golden Square Developments,Palm Hills Developments,Mixed/Phased,Extension phases vary by inventory.,mixed,2025-12-28,,
palm-hills-new-cairo,Palm Hills New Cairo,New Cairo,Golden Square,Golden Square Developments,Palm Hills Developments,Under Construction,Phased development; multiple delivery timelines by phase.,mixed,2025-12-28,,
sodic-eastown,SODIC Eastown,New Cairo,Golden Square,Golden Square Developments,SODIC,Ready to Move,Alternate naming; residential delivered.,mixed,2025-12-28,,
sky-condos,Sky Condos,New Cairo,Golden Square,Golden Square Developments,SODIC,Mixed/Phased,Branded product within SODIC Eastown/Villette ecosystem; deliveries vary.,property_hub,2025-12-28,,
swan-lake-residences-nc,Swan Lake Residences (New Cairo),New Cairo,Golden Square,Golden Square Developments,Hassan Allam Properties,Mixed/Phased,"Phased deliveries; some RTM, some ongoing.",mixed,2025-12-28,,
the-waterway-villas,The Waterway Villas,New Cairo,Golden Square,Other,The Waterway Developments,Ready to Move,Delivered villas in key Fifth Settlement locations.,mixed,2025-12-28,,
villette,Villette,New Cairo,Golden Square,Golden Square Developments,SODIC,Ready to Move,Delivered phases + some ongoing handovers.,mixed,2025-12-28,,
katameya-heights,Katameya Heights,New Cairo,Katameya,Other,Katameya Heights for Real Estate Investment & Development,Ready to Move,Established golf community; delivered.,property_hub,2025-12-28,,
katameya-hills,Katameya Hills,New Cairo,Katameya,Other,Palm Hills Developments,Ready to Move,High-end delivered villa community.,mixed,2025-12-28,,
palm-hills-ktameya-gardens,Palm Hills Katameya Gardens,New Cairo,Katameya,Other,Palm Hills Developments,Ready to Move,Older delivered product name used in market.,mixed,2025-12-28,,
district-5,District 5,New Cairo,Kattameya / Ring Road,2025 High-End Launches,Marakez,Mixed/Phased,Delivered phases + expansions/handovers ongoing.,mixed,2025-12-28,,
madinaty,Madinaty,New Cairo,Madinaty,Integrated Mini-Cities,Talaat Moustafa Group (TMG),Ready to Move,Established integrated city; delivered.,mixed,2025-12-28,,
uptown-cairo,Uptown Cairo,New Cairo,Mokattam / New Cairo Edge,Other,Emaar Misr,Mixed/Phased,Older delivered zones; continued development/handovers.,mixed,2025-12-28,,
bloomfields,Bloomfields,New Cairo,Mostakbal City,Other,Tatweer Misr,Under Construction,Phased development; delivery varies.,mixed,2025-12-28,,
go-haptown,Haptown,New Cairo,Mostakbal City,Other,Hassan Allam Properties,Under Construction,Large phased project.,mixed,2025-12-28,,
il-bosco-city,IL Bosco City,New Cairo,Mostakbal City,Other,Misr Italia Properties,Under Construction,Large phased project; delivery varies by phase.,mixed,2025-12-28,,
lavenir,L'Avenir,New Cairo,Mostakbal City,Other,Al Ahly Sabbour,Under Construction,Off-plan; phase-based delivery.,mixed,2025-12-28,,
la-mirada-mostakbal-city,La Mirada (Mostakbal City),New Cairo,Mostakbal City,Other,Grand Plaza,Ready to Move,Delivered / immediate delivery inventory advertised; phases may vary by cluster.,property_hub,2025-12-28,,
la-mirada-new-cairo,La Mirada (New Cairo),New Cairo,South Investors Area (Fifth Settlement),Other,Grand Plaza,Ready to Move,"Delivered residential compound located in South Investors Area, Fifth Settlement; adjacent to Mivida and Hyde Park.",property_hub,2025-12-28,,
the-city-of-odyssey,ODYSSEIA / The City of Odyssia,New Cairo,Mostakbal City,Other,Al Ahly Sabbour,Under Construction,Large phased city; delivery varies.,mixed,2025-12-28,,
the-city-of-odysseia,Odyssia,New Cairo,Mostakbal City,Other,Al Ahly Sabbour,Under Construction,Alternate spelling; keep one canonical record in DB.,mixed,2025-12-28,,
saray,Saray,New Cairo,Mostakbal City,Other,MNHD (Madinet Nasr Housing & Development),Under Construction,Large phased project; handovers vary by phase.,mixed,2025-12-28,,
zizinia-el-mustakbal,Zizinia El Mostakbal,New Cairo,Mostakbal City,Other,ARDIC Developments,Under Construction,Off-plan; phase-based deliveries.,mixed,2025-12-28,,
abu-sphinx,Abu Sphinx,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
al-narjis,Al Narjis,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
andalus,Andalus,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
choueifat,Choueifat,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
clove-neighborhood,Clove Neighborhood,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
homeland-house,Homeland House,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
northern-lotus,Northern Lotus,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood/district; not a single-developer compound.,property_hub,2025-12-28,,
southern-lotus,Southern Lotus,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood/district; not a single-developer compound.,property_hub,2025-12-28,,
tamr-henna,Tamr Henna,New Cairo,Neighborhoods,District/Neighborhood,,Ready to Move,Neighborhood area; not a single-developer compound.,property_hub,2025-12-28,,
la-vista-gardens,La Vista Gardens,New Cairo,New Cairo,Other,La Vista Developments,Mixed/Phased,Delivered clusters + ongoing.,mixed,2025-12-28,,
il-bosco-new-cairo,IL Bosco New Cairo,New Cairo,New Cairo / Fifth Settlement,Other,Misr Italia Properties,Mixed/Phased,Some delivered phases; ongoing expansions.,mixed,2025-12-28,,
kinda,Kinda,New Cairo,New Cairo / Heliopolis Corridor,Other,MNHD (Madinet Nasr Housing & Development),Under Construction,Project marketed alongside Taj City; phased delivery.,property_hub,2025-12-28,,
la-vista-city,La Vista City,New Cairo,New Cairo / Heliopolis Corridor,Other,La Vista Developments,Under Construction,Large phased project; handovers vary.,mixed,2025-12-28,,
taj-city,Taj City,New Cairo,New Cairo / Heliopolis Corridor,Other,MNHD (Madinet Nasr Housing & Development),Mixed/Phased,Large phased city; delivered + ongoing.,mixed,2025-12-28,,
calista,Calista,New Cairo,New Cairo East,Other,IL Cazar Developments,Under Construction,Off-plan; phase-based delivery.,mixed,2025-12-28,,
capital-gardens,Capital Gardens,New Cairo,New Cairo East,Other,Palm Hills Developments,Under Construction,Phased deliveries.,mixed,2025-12-28,,
midtown-new-cairo-east,Midtown New Cairo East,New Cairo,New Cairo East,Other,Better Home,Under Construction,Midtown series; phased delivery.,property_hub,2025-12-28,,
sodic-east,SODIC East,New Cairo,New Cairo East,Other,SODIC,Under Construction,Phased project; ongoing construction/handovers.,mixed,2025-12-28,,
the-address-east,The Address East,New Cairo,New Cairo East,Other,Dorraa Group,Under Construction,Off-plan; phased deliveries.,mixed,2025-12-28,,
the-address-east-residences,The Address East Residences,New Cairo,New Cairo East,Other,Dorraa Group,Under Construction,Residential component; phased deliveries.,mixed,2025-12-28,,
the-brook,The Brooks,New Cairo,New Cairo East,Other,PRE Developments / Roaya Group,Under Construction,Off-plan; delivery varies by phase.,mixed,2025-12-28,,
trio-gardens,Trio Gardens,New Cairo,New Cairo East,Other,M Squared Developments,Under Construction,Off-plan / phased delivery.,property_hub,2025-12-28,,
zizinia-gardens,Zizinia Gardens,New Cairo,New Cairo East,Other,ARDIC Developments,Ready to Move,Earlier delivered phases; resale market.,mixed,2025-12-28,,
zoya-gharb,Zoya (East Cairo),New Cairo,New Cairo East,Other,,Under Construction,Branding varies; validate before use in production.,mixed,2025-12-28,,
the-crest-il-cazar,The Crest,New Cairo,New Cairo East / Mostakbal City,2025 High-End Launches,IL Cazar Developments,Under Construction,Off-plan project with multi-year delivery schedule.,mixed,2025-12-28,,
solana-east,Solana East,New Cairo,New Cairo East / Mostakbal City Edge,2025 High-End Launches,ORA Developers,Under Construction,Off-plan; delivery varies by phase (late 2020s typical).,mixed,2025-12-28,,
zed-east,Zed East,New Cairo,New Cairo East / Mostakbal City Edge,Other,ORA Developers,Under Construction,Large phased gated community; handovers/delivery vary by phase.,property_hub,2025-12-28,,
vinci,Vinci,New Cairo,New Capital / New Cairo Periphery,Other,Misr Italia Properties,Under Construction,Often marketed toward East Cairo; phase-based deliveries.,mixed,2025-12-28,,
the-waterway-new-cairo,The Waterway New Cairo,New Cairo,North Teseen,Other,The Waterway Developments,Ready to Move,Established delivered residences/retail-adjacent components; inventory varies.,property_hub,2025-12-28,,
the-waterway-residence,The Waterway Residence,New Cairo,North Teseen,Other,The Waterway Developments,Ready to Move,Established delivered residence buildings.,mixed,2025-12-28,,
mountain-view-i-city-new-cairo,Mountain View iCity New Cairo,New Cairo,North Teseen / Ring Road,Other,Mountain View,Mixed/Phased,Large phased project; delivered clusters + ongoing.,mixed,2025-12-28,,
stone-park,Stone Park,New Cairo,Ring Road / Katameya,Other,PRE Developments / Roaya Group,Mixed/Phased,Some delivered zones; continued development historically.,mixed,2025-12-28,,
first-settlement,1st Settlement,New Cairo,Settlements,District/Neighborhood,,Ready to Move,Administrative/urban district; not a single-developer compound.,property_hub,2025-12-28,,
second-settlement,2nd Settlement,New Cairo,Settlements,District/Neighborhood,,Ready to Move,Administrative/urban district; not a single-developer compound.,property_hub,2025-12-28,,
third-settlement,3rd Settlement,New Cairo,Settlements,District/Neighborhood,,Ready to Move,Administrative/urban district; not a single-developer compound.,property_hub,2025-12-28,,
fifth-settlement,5th Settlement,New Cairo,Settlements,District/Neighborhood,,Ready to Move,Administrative/urban district; not a single-developer compound.,property_hub,2025-12-28,,
atria-new-zayed,Atria (New Zayed),New Zayed,New Zayed West,Other,,Under Construction,Market name; validate developer.,mixed,2025-12-28,,
badya-west,Badya (West),New Zayed,New Zayed West,Other,Palm Hills Developments,Mixed/Phased,Badya is primarily 6th of Oct; sometimes associated with west growth.,mixed,2025-12-28,,
hills-of-one,Hills of One,New Zayed,New Zayed West,Recent 2025 Additions,People & Places,Under Construction,Off-plan; advertised delivery mid/late 2020s.,mixed,2025-12-28,,
jevana,Jevana,New Zayed,New Zayed West,Other,,Under Construction,Validate name/developer.,mixed,2025-12-28,,
mar-ville-new-zayed,Mar Ville,New Zayed,New Zayed West,Recent 2025 Additions,Al Marasem Development,Under Construction,Off-plan; phase-based delivery.,mixed,2025-12-28,,
naia-west,Naia West,New Zayed,New Zayed West,Other,Naia Developments,Under Construction,Off-plan; deliveries vary.,mixed,2025-12-28,,
palm-hills-new-zayed,Palm Hills New Zayed,New Zayed,New Zayed West,Other,Palm Hills Developments,Under Construction,Phased; validate by developer sales.,mixed,2025-12-28,,
rivers-new-zayed,Rivers,New Zayed,New Zayed West,New Zayed Projects,Tatweer Misr,Under Construction,Off-plan; multi-year deliveries.,mixed,2025-12-28,,
solana-new-zayed,Solana,New Zayed,New Zayed West,New Zayed Projects,ORA Developers,Under Construction,Off-plan; delivery varies by phase.,mixed,2025-12-28,,
the-estates,The Estates,New Zayed,New Zayed West,New Zayed Projects,SODIC,Under Construction,Large villa community; phased delivery.,mixed,2025-12-28,,
the-median-residences,The Median Residences,New Zayed,New Zayed West,Other,EgyGab Developments,Under Construction,Off-plan; deliveries vary.,mixed,2025-12-28,,
the-stance-new-zayed,The Stance,New Zayed,New Zayed West,Other,,Under Construction,Project name used in market; validate developer before production.,mixed,2025-12-28,,
vye,VYE,New Zayed,New Zayed West,New Zayed Projects,SODIC,Mixed/Phased,Early handovers reported; more phases ongoing.,mixed,2025-12-28,,
zayard,Zayard,New Zayed,New Zayed West,Other,Palm Hills Developments / Partners (marketed),Under Construction,Marketed in New Zayed; verify exact developer entity.,mixed,2025-12-28,,
badya,Badya,Sheikh Zayed,6th of October (near Zayed),Other,Palm Hills Developments,Mixed/Phased,Large phased city; delivered clusters + ongoing.,mixed,2025-12-28,,
ozone,O West,Sheikh Zayed,6th of October / Zayed Edge,Other,Orascom Development,Mixed/Phased,Large phased city; delivered clusters + ongoing.,mixed,2025-12-28,,
o-west,O West,Sheikh Zayed,6th of October / Zayed Edge,Other,Orascom Development,Mixed/Phased,Canonical name; dedupe with ozone entry.,mixed,2025-12-28,,
october-plaza,October Plaza,Sheikh Zayed,6th of October / Zayed Edge,Other,SODIC,Ready to Move,Delivered mid/high-rise product.,mixed,2025-12-28,,
palm-hills-october,Palm Hills October,Sheikh Zayed,6th of October / Zayed Edge,Other,Palm Hills Developments,Ready to Move,Established delivered community.,mixed,2025-12-28,,
new-giza,New Giza,Sheikh Zayed,New Giza Corridor,Other,New Giza for Real Estate Development,Mixed/Phased,Delivered districts + ongoing phases.,mixed,2025-12-28,,
aeon,Aeon,Sheikh Zayed,Sheikh Zayed,Other,Marakez,Mixed/Phased,Phased residential at/near Mall of Arabia corridor.,mixed,2025-12-28,,
al-basatin,Al Basatin,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; validate.,mixed,2025-12-28,,
al-karma,Al Karma,Sheikh Zayed,Sheikh Zayed,Other,Karma Developments,Ready to Move,Multiple Karma projects; validate per exact name.,mixed,2025-12-28,,
al-karma-4,Al Karma 4,Sheikh Zayed,Sheikh Zayed,Other,Karma Developments,Ready to Move,Older delivered phases.,mixed,2025-12-28,,
al-mostakbal,Al Mostakbal (Zayed),Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older; validate.,mixed,2025-12-28,,
al-rabwa,Al Rabwa,Sheikh Zayed,Sheikh Zayed,Other,Talaat Moustafa Group (TMG),Ready to Move,Established delivered compound.,mixed,2025-12-28,,
al-rawda,Al Rawda,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older; validate.,mixed,2025-12-28,,
al-yasmeen,Al Yasmeen,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; validate.,mixed,2025-12-28,,
allegria,Allegria,Sheikh Zayed,Sheikh Zayed,Established Communities,SODIC,Ready to Move,Delivered high-end enclave within/near Beverly Hills.,mixed,2025-12-28,,
allegria-residences,Allegria Residence,Sheikh Zayed,Sheikh Zayed,Established Communities,SODIC,Ready to Move,Sub-branding for Allegria units.,mixed,2025-12-28,,
bel-air,Bel Air,Sheikh Zayed,Sheikh Zayed,Other,SODIC,Mixed/Phased,Newer product line; phased delivery.,mixed,2025-12-28,,
beverly-hills,Beverly Hills,Sheikh Zayed,Sheikh Zayed,Established Communities,SODIC,Ready to Move,Delivered community; resale market.,mixed,2025-12-28,,
cairo-gate,Cairo Gate,Sheikh Zayed,Sheikh Zayed,Other,Emaar Misr,Under Construction,Off-plan/ongoing; mixed-use.,mixed,2025-12-28,,
california-heights,California Heights,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; validate.,mixed,2025-12-28,,
casa,Casa,Sheikh Zayed,Sheikh Zayed,Other,Palm Hills Developments,Ready to Move,Older delivered community.,mixed,2025-12-28,,
kleopatra-plaza,Cleopatra Square,Sheikh Zayed,Sheikh Zayed,Other,Cleopatra Real Estate,Ready to Move,Established delivered compound.,mixed,2025-12-28,,
diplomats-1,Diplomats 1,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; validate.,mixed,2025-12-28,,
diplomats-2,Diplomats 2,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; validate.,mixed,2025-12-28,,
district-5-west,District 5 West (Zayed market ref),Sheikh Zayed,Sheikh Zayed,Other,Marakez,Under Construction,If marketed; validate exact project naming in DB.,mixed,2025-12-28,,
el-nakhil,El Nakhil,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older; validate.,mixed,2025-12-28,,
al-patio-zayed,El Patio (Sheikh Zayed),Sheikh Zayed,Sheikh Zayed,Other,La Vista Developments,Mixed/Phased,See other El Patio entries; dedupe by canonical name later.,mixed,2025-12-28,,
el-patio-zayed,El Patio El Zahraa / El Patio (Zayed),Sheikh Zayed,Sheikh Zayed,Other,La Vista Developments,Mixed/Phased,Multiple El Patio projects; status varies.,mixed,2025-12-28,,
elevado,Elevado,Sheikh Zayed,Sheikh Zayed,Other,City Edge Developments,Under Construction,Off-plan; deliveries vary.,mixed,2025-12-28,,
etapa,Etapa,Sheikh Zayed,Sheikh Zayed,Other,City Edge Developments,Mixed/Phased,Phased villas; deliveries vary.,mixed,2025-12-28,,
green-2,Green 2,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Market name for older compounds.,mixed,2025-12-28,,
green-3,Green 3,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Market name for older compounds.,mixed,2025-12-28,,
green-4,Green 4,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Market name for older compounds.,mixed,2025-12-28,,
green-park,Green Park,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound name used in listings; validate.,mixed,2025-12-28,,
hyper-one-residences,Hyper One Residences,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,If present; validate.,mixed,2025-12-28,,
jefaira-zayed,Jefaira (Zayed),Sheikh Zayed,Sheikh Zayed,Other,Inertia,Mixed/Phased,Brand spans North Coast; ensure correct local record if used.,mixed,2025-12-28,,
al-karma-kay,Karma Kay,Sheikh Zayed,Sheikh Zayed,Other,Karma Developments,Under Construction,Newer product; phase-based delivery.,mixed,2025-12-28,,
al-karma-residence,Karma Residence,Sheikh Zayed,Sheikh Zayed,Other,Karma Developments,Ready to Move,Delivered product.,mixed,2025-12-28,,
karmell,Karmell,Sheikh Zayed,Sheikh Zayed,Other,SODIC,Mixed/Phased,"Phased; some deliveries, some ongoing.",mixed,2025-12-28,,
one16,One16,Sheikh Zayed,Sheikh Zayed,Other,SODIC,Ready to Move,Luxury apartments; often RTM/resale.,mixed,2025-12-28,,
palm-parks,Palm Parks,Sheikh Zayed,Sheikh Zayed,Other,Palm Hills Developments,Ready to Move,Delivered residential blocks.,mixed,2025-12-28,,
palm-valley,Palm Valley,Sheikh Zayed,Sheikh Zayed,Other,Palm Hills Developments,Ready to Move,Older delivered product line.,mixed,2025-12-28,,
park-valley,Park Valley,Sheikh Zayed,Sheikh Zayed,Other,El Attal Holding,Under Construction,Off-plan; deliveries vary.,mixed,2025-12-28,,
park-valley-blue,Park Valley Blue,Sheikh Zayed,Sheikh Zayed,Other,El Attal Holding,Under Construction,Off-plan; deliveries vary.,mixed,2025-12-28,,
rawdat-zayed,Rawdat Zayed,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; validate.,mixed,2025-12-28,,
royal-city,Royal City,Sheikh Zayed,Sheikh Zayed,Other,Talaat Moustafa Group (TMG),Under Construction,Off-plan; phased delivery.,mixed,2025-12-28,,
swan-lake-west,Swan Lake West,Sheikh Zayed,Sheikh Zayed,Other,Hassan Allam Properties,Under Construction,Off-plan / phased deliveries.,mixed,2025-12-28,,
the-8,The 8,Sheikh Zayed,Sheikh Zayed,Other,Dorra Group,Under Construction,Off-plan; deliveries vary.,mixed,2025-12-28,,
the-courtyards,The Courtyards,Sheikh Zayed,Sheikh Zayed,Other,SODIC,Ready to Move,Delivered.,mixed,2025-12-28,,
the-polygons,The Polygons,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Area branding; validate per subproject.,mixed,2025-12-28,,
trivium-zayed,Trivium (Zayed),Sheikh Zayed,Sheikh Zayed,Other,INMA / others,Under Construction,Often commercial; include only if residential exists—validate.,mixed,2025-12-28,,
westown,Westown,Sheikh Zayed,Sheikh Zayed,Established Communities,SODIC,Ready to Move,Delivered residential districts + ongoing infill.,mixed,2025-12-28,,
zayed-2000,Zayed 2000,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Older compound; developer varies.,mixed,2025-12-28,,
zayed-2000-villas,Zayed 2000 Villas,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Sub-brand; validate.,mixed,2025-12-28,,
zayed-dunes,Zayed Dunes,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Market name; validate developer per listing.,mixed,2025-12-28,,
zayed-regency,Zayed Regency,Sheikh Zayed,Sheikh Zayed,Other,,Ready to Move,Market name; validate developer per listing.,mixed,2025-12-28,,
